Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,176.100006,177.369995,150.039993,150.229996,150.229996,687706200
2022-12-19,154.000000,155.250000,121.019997,123.150002,123.150002,821451300
2022-12-26,117.500000,124.480003,108.239998,123.180000,123.180000,809414500
2023-01-02,118.470001,118.800003,101.809998,113.059998,113.059998,790689200
2023-01-09,118.959999,125.949997,114.919998,122.400002,122.400002,891852300
2023-01-16,125.699997,136.679993,124.309998,133.419998,133.419998,691307300
2023-01-23,135.869995,180.679993,134.270004,177.899994,177.899994,1095958300
2023-01-30,178.050003,199.000000,162.779999,189.979996,189.979996,1091608900
2023-02-06,193.009995,214.000000,189.550003,196.889999,196.889999,973057500
2023-02-13,194.419998,217.649994,187.610001,208.309998,208.309998,1013262600
2023-02-20,204.990005,209.710007,191.779999,196.880005,196.880005,660435200
2023-02-27,202.029999,211.229996,186.009995,197.789993,197.789993,806720000
2023-03-06,198.539993,198.600006,168.440002,173.440002,173.440002,789636400
2023-03-13,167.460007,186.220001,163.910004,180.130005,180.130005,711837700
2023-03-20,178.080002,200.660004,176.350006,190.410004,190.410004,693958500
2023-03-27,194.419998,207.789993,185.429993,207.460007,207.460007,623640500
2023-04-03,199.910004,202.690002,179.740005,185.059998,185.059998,553750100
2023-04-10,179.940002,191.580002,176.110001,185.000000,185.000000,617553500
2023-04-17,186.320007,189.690002,160.559998,165.080002,165.080002,668971700
2023-04-24,164.649994,165.649994,152.369995,164.309998,164.309998,664901000
2023-05-01,163.169998,170.789993,158.830002,170.059998,170.059998,559552100
2023-05-08,173.720001,177.380005,166.559998,167.979996,167.979996,582522100
2023-05-15,167.660004,181.949997,164.350006,180.139999,180.139999,574899400
2023-05-22,180.699997,198.600006,178.220001,193.169998,193.169998,685490800
2023-05-29,200.100006,217.250000,195.119995,213.970001,213.970001,591689300
2023-06-05,217.800003,252.419998,212.529999,244.399994,244.399994,848137500
2023-06-12,247.940002,263.600006,244.589996,260.540009,260.540009,811032600
2023-06-19,261.500000,276.989990,248.250000,256.600006,256.600006,720868300
2023-06-26,250.070007,264.450012,240.699997,261.769989,261.769989,748280600
2023-07-03,276.489990,284.250000,272.880005,274.429993,274.429993,485150900
2023-07-10,276.470001,285.299988,265.100006,281.380005,281.380005,539522500
2023-07-17,286.630005,299.290009,255.800003,260.019989,260.019989,722568100
2023-07-24,255.850006,272.899994,254.119995,266.440002,266.440002,560265300
2023-07-31,267.480011,269.079987,250.490005,253.860001,253.860001,466312800
2023-08-07,251.449997,253.649994,238.020004,242.649994,242.649994,517701600
2023-08-14,235.699997,240.660004,212.360001,215.490005,215.490005,555809500
2023-08-21,221.550003,240.820007,220.580002,238.589996,238.589996,573767800
2023-08-28,242.580002,261.179993,235.350006,245.009995,245.009995,604843900
2023-09-04,245.000000,258.000000,243.270004,248.500000,248.500000,480110000
2023-09-11,264.269989,278.980011,260.609985,274.390015,274.390015,663474100
2023-09-18,271.160004,273.929993,244.479996,244.880005,244.880005,574817000
2023-09-25,243.380005,254.770004,234.580002,250.220001,250.220001,588632500
2023-10-02,244.809998,263.600006,242.619995,260.529999,260.529999,592623500
2023-10-09,255.309998,268.940002,250.220001,251.119995,251.119995,541322100
2023-10-16,250.050003,257.179993,210.419998,211.990005,211.990005,616134600
2023-10-23,210.000000,222.050003,202.509995,207.300003,207.300003,585973400
2023-10-30,209.279999,226.369995,194.070007,219.960007,219.960007,621446800
2023-11-06,223.979996,226.320007,205.690002,214.649994,214.649994,613925200
2023-11-13,215.600006,246.699997,211.610001,234.300003,234.300003,719922800
2023-11-20,234.039993,244.009995,231.020004,235.449997,235.449997,421683900
2023-11-27,236.889999,252.750000,231.899994,238.830002,238.830002,649509700
2023-12-04,235.750000,246.660004,233.289993,243.839996,243.839996,578629500
2023-12-11,242.740005,243.440002,237.449997,239.740005,239.740005,97758900
